Student ID,Age,Gender,Academic Performance (GPA),Study Hours Per Week,Social Media Usage (Hours per day),Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support,Financial Stress,Peer Pressure,Relationship Stress,Mental Stress Level,Counseling Attendance,Diet Quality,Stress Coping Mechanisms,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use
802-17-3671,22,Female,2.61,37.0,0.5,7.5,0.0,3,2,2,1,4,No,3,"Exercise, Meditation",5,No,Yes,1
871-12-8572,21,Female,2.96,31.0,2.6,7.0,0.0,3,1,1,5,5,No,3,"Exercise, Journaling",1,Yes,No,2
495-13-2672,22,Female,4.0,23.0,6.4,6.1,0.3,2,4,2,2,5,No,5,"Family Interaction, Journaling",4,Yes,Yes,5
365-77-2496,24,Male,2.85,15.0,2.0,7.1,4.5,2,3,3,5,6,No,5,"Meditation, Family Interaction",2,Yes,No,5
664-76-5622,21,Male,3.47,21.0,3.1,7.7,1.3,5,1,2,3,4,Yes,2,"Exercise, Family Interaction",4,Yes,No,5
386-91-7629,21,Female,2.55,36.0,4.9,4.3,5.5,2,1,1,1,4,Yes,4,"Journaling, Meditation",4,Yes,No,3
740-27-0902,24,Female,2.88,44.0,5.6,8.2,4.1,2,2,1,1,5,Yes,1,"Meditation, Exercise",2,Yes,No,2
193-03-0467,23,Male,3.79,40.0,3.5,6.4,0.0,2,4,3,4,7,No,1,"Substance Use, Excessive Screen Time",5,No,Yes,5
195-29-3231,20,Female,2.59,20.0,2.8,7.3,6.0,4,3,1,1,3,No,5,"Meditation, Journaling",5,No,No,5
504-53-5581,22,Male,3.81,14.0,6.8,8.2,6.4,2,4,3,5,6,No,5,"Family Interaction, Journaling",5,Yes,Yes,2
282-69-0356,20,Male,3.25,26.0,7.5,5.2,1.0,1,2,3,3,6,No,2,"Meditation, Journaling",3,No,Yes,1
803-83-7625,20,Male,2.62,7.0,6.0,5.9,5.3,1,5,1,2,6,No,4,"Meditation, Family Interaction",5,Yes,Yes,5
249-06-6401,21,Female,3.22,28.0,4.2,6.5,1.4,5,1,5,1,5,Yes,2,"Family Interaction, Journaling",2,Yes,No,1
713-55-3396,18,Female,3.39,24.0,2.4,5.9,4.3,4,3,3,2,5,Yes,4,"Exercise, Family Interaction",3,No,No,5
879-05-6220,18,Male,3.21,20.0,2.3,8.9,0.2,1,5,1,1,6,No,1,"Journaling, Meditation",5,Yes,No,4
355-95-4355,20,Female,2.11,9.0,5.0,5.8,0.0,4,2,5,3,6,No,2,"Journaling, Meditation",3,Yes,No,3
658-67-3956,19,Female,2.54,30.0,4.8,6.1,2.9,4,4,3,5,6,No,5,"Meditation, Exercise",2,No,Yes,5
